model,fold,regime,pinball,coverage,width,med_MAPE,pinball_%
vol_21d,2022-01-01 00:00:00+00:00,low,168.28772963747753,66.00985221674877,11.818129994552578,5.478135656603989,1.665163226049109
vol_21d,2022-01-01 00:00:00+00:00,medium,102.97419695046624,75.53366174055829,18.29713902126062,8.022270069374878,1.7152819927351477
vol_21d,2022-01-01 00:00:00+00:00,high,35.02141433690597,93.43185550082102,29.2176119951173,5.920688839182147,1.566800619645211
tree_blend,2022-01-01 00:00:00+00:00,low,168.55148727436705,73.07060755336617,14.005254548323428,5.47892457466945,1.6677730391262962
tree_blend,2022-01-01 00:00:00+00:00,medium,104.9788651901846,68.4729064039409,16.83488686252226,8.025666654021846,1.7486745457710409
tree_blend,2022-01-01 00:00:00+00:00,high,33.41018063691774,91.29720853858785,25.28242252625753,5.9198737036186415,1.4947166673739152
lgbm,2023-01-01 00:00:00+00:00,medium,86.00725070163439,81.22923588039868,12.632883294862532,3.5111627689599385,1.0925004661767854
lgbm,2023-01-01 00:00:00+00:00,low,93.12323086923236,83.08702791461413,12.307710838886054,3.610801334003978,1.0860109963419264
lgbm,2023-01-01 00:00:00+00:00,high,26.600784446181525,80.78817733990148,18.14380870119253,4.798557914549924,1.3410191744046274
xgb,2023-01-01 00:00:00+00:00,medium,84.73167592127588,80.56478405315615,12.383383949166987,3.5114514420624863,1.076297575945828
xgb,2023-01-01 00:00:00+00:00,low,91.97858833576902,83.41543513957306,11.967619970461776,3.610058114983135,1.072662078283365
xgb,2023-01-01 00:00:00+00:00,high,26.256357206479482,79.47454844006569,17.78148277706226,4.797651291448697,1.3236556438831055
vol_21d,2023-01-01 00:00:00+00:00,medium,80.8147622936253,81.72757475083057,11.353228232140966,3.510545600917356,1.0265432827987602
vol_21d,2023-01-01 00:00:00+00:00,low,93.07937902902096,69.45812807881774,7.471056651313387,3.602133013320212,1.0854995924716473
vol_21d,2023-01-01 00:00:00+00:00,high,26.629637432477228,87.192118226601,20.61773423426524,4.799166560355664,1.3424737333083188
tree_blend,2023-01-01 00:00:00+00:00,medium,84.78404373208713,80.56478405315615,12.394648522219265,3.5114558774936,1.076962774022237
tree_blend,2023-01-01 00:00:00+00:00,low,91.96362051286314,83.2512315270936,11.966751437485588,3.6100665098316997,1.072487522266404
tree_blend,2023-01-01 00:00:00+00:00,high,26.264972048065914,79.47454844006569,17.80133001142927,4.797708618126996,1.3240899418931975
