run,tag,origins,asset,model,metric,value
2026-07-24 09:57:34+00:00,model_zoo,1393,5,lightgbm,med_MAPE,5.6205721967123035
2026-07-24 09:57:34+00:00,model_zoo,1393,5,ridge,med_MAPE,577092477.9751627
2026-07-24 09:59:42+00:00,model_zoo,1393,5,garch,pinball,177.48637649911325
2026-07-24 09:59:42+00:00,model_zoo,1393,5,har_rv,pinball,179.7723795961741
2026-07-24 09:59:42+00:00,model_zoo,1393,5,vol_21d,pinball,187.09705126084847
2026-07-24 09:59:42+00:00,model_zoo,1393,5,lightgbm,pinball,190.6698294678071
2026-07-24 09:59:42+00:00,model_zoo,1393,5,ridge,pinball,457852406.08316785
2026-07-24 09:59:42+00:00,model_zoo,1393,5,garch,coverage,79.01753666290638
2026-07-24 09:59:42+00:00,model_zoo,1393,5,har_rv,coverage,78.75089734386216
2026-07-24 09:59:42+00:00,model_zoo,1393,5,vol_21d,coverage,78.1560865552251
2026-07-24 09:59:42+00:00,model_zoo,1393,5,lightgbm,coverage,78.12532047995077
2026-07-24 09:59:42+00:00,model_zoo,1393,5,ridge,coverage,79.65336888524254
2026-07-24 09:59:42+00:00,model_zoo,1393,5,garch,width,17.994076141290314
2026-07-24 09:59:42+00:00,model_zoo,1393,5,har_rv,width,18.488581496453406
2026-07-24 09:59:42+00:00,model_zoo,1393,5,vol_21d,width,21.791190362007182
2026-07-24 09:59:42+00:00,model_zoo,1393,5,lightgbm,width,19.207118957704374
2026-07-24 09:59:42+00:00,model_zoo,1393,5,ridge,width,3968678829264.5347
2026-07-24 09:59:42+00:00,model_zoo,1393,5,garch,med_MAPE,5.5446940608202935
2026-07-24 09:59:42+00:00,model_zoo,1393,5,har_rv,med_MAPE,5.579803112138148
2026-07-24 09:59:42+00:00,model_zoo,1393,5,vol_21d,med_MAPE,5.6560147565854795
2026-07-24 09:59:42+00:00,model_zoo,1393,5,lightgbm,med_MAPE,5.6205721967123035
2026-07-24 09:59:42+00:00,model_zoo,1393,5,ridge,med_MAPE,6.556294098248616
2026-07-24 10:00:47+00:00,model_zoo,1393,5,garch,pinball,177.48637649911325
2026-07-24 10:00:47+00:00,model_zoo,1393,5,har_rv,pinball,179.7723795961741
2026-07-24 10:00:47+00:00,model_zoo,1393,5,ridge,pinball,185.82330504949087
2026-07-24 10:00:47+00:00,model_zoo,1393,5,vol_21d,pinball,187.09705126084847
2026-07-24 10:00:47+00:00,model_zoo,1393,5,lightgbm,pinball,190.6698294678071
2026-07-24 10:00:47+00:00,model_zoo,1393,5,garch,coverage,79.01753666290638
2026-07-24 10:00:47+00:00,model_zoo,1393,5,har_rv,coverage,78.75089734386216
2026-07-24 10:00:47+00:00,model_zoo,1393,5,ridge,coverage,79.47902779202133
2026-07-24 10:00:47+00:00,model_zoo,1393,5,vol_21d,coverage,78.1560865552251
2026-07-24 10:00:47+00:00,model_zoo,1393,5,lightgbm,coverage,78.12532047995077
2026-07-24 10:00:47+00:00,model_zoo,1393,5,garch,width,17.994076141290314
2026-07-24 10:00:47+00:00,model_zoo,1393,5,har_rv,width,18.488581496453406
2026-07-24 10:00:47+00:00,model_zoo,1393,5,ridge,width,1808.5187924884845
2026-07-24 10:00:47+00:00,model_zoo,1393,5,vol_21d,width,21.791190362007182
2026-07-24 10:00:47+00:00,model_zoo,1393,5,lightgbm,width,19.207118957704374
2026-07-24 10:00:47+00:00,model_zoo,1393,5,garch,med_MAPE,5.5446940608202935
2026-07-24 10:00:47+00:00,model_zoo,1393,5,har_rv,med_MAPE,5.579803112138148
2026-07-24 10:00:47+00:00,model_zoo,1393,5,ridge,med_MAPE,5.961849605048266
2026-07-24 10:00:47+00:00,model_zoo,1393,5,vol_21d,med_MAPE,5.6560147565854795
2026-07-24 10:00:47+00:00,model_zoo,1393,5,lightgbm,med_MAPE,5.6205721967123035
2026-07-24 10:00:47+00:00,model_zoo,1393,5,garch,pinball_%,1.4401144610889538
2026-07-24 10:00:47+00:00,model_zoo,1393,5,har_rv,pinball_%,1.4586629614477287
2026-07-24 10:00:47+00:00,model_zoo,1393,5,ridge,pinball_%,1.5077598297267216
2026-07-24 10:00:47+00:00,model_zoo,1393,5,vol_21d,pinball_%,1.5180949347354293
2026-07-24 10:00:47+00:00,model_zoo,1393,5,lightgbm,pinball_%,1.5470842558517477
2026-07-27 08:22:27+00:00,tree,1445,24,tree_lgbm,pinball,167.91553611528096
2026-07-27 08:22:27+00:00,tree,1445,24,vol_21d,pinball,167.99317768299755
2026-07-27 08:22:27+00:00,tree,1445,24,tree_lgbm,coverage,78.68512110726643
2026-07-27 08:22:27+00:00,tree,1445,24,vol_21d,coverage,79.3178447849728
2026-07-27 08:22:27+00:00,tree,1445,24,tree_lgbm,width,19.00909115559637
2026-07-27 08:22:27+00:00,tree,1445,24,vol_21d,width,20.66089017785267
2026-07-27 08:22:27+00:00,tree,1445,24,tree_lgbm,med_MAPE,5.746847398753047
2026-07-27 08:22:27+00:00,tree,1445,24,vol_21d,med_MAPE,5.805569702692228
2026-07-27 08:22:27+00:00,tree,1445,24,tree_lgbm,pinball_%,1.4129764968398537
2026-07-27 08:22:27+00:00,tree,1445,24,vol_21d,pinball_%,1.4136298354939139
2026-07-27 08:25:10+00:00,linear,1393,5,garch,pinball,177.48637649911325
2026-07-27 08:25:10+00:00,linear,1393,5,har_rv,pinball,179.7723795961741
2026-07-27 08:25:10+00:00,linear,1393,5,ridge,pinball,185.82330504949087
2026-07-27 08:25:10+00:00,linear,1393,5,vol_21d,pinball,187.09705126084847
2026-07-27 08:25:10+00:00,linear,1393,5,garch,coverage,79.01753666290638
2026-07-27 08:25:10+00:00,linear,1393,5,har_rv,coverage,78.75089734386216
2026-07-27 08:25:10+00:00,linear,1393,5,ridge,coverage,79.47902779202133
2026-07-27 08:25:10+00:00,linear,1393,5,vol_21d,coverage,78.1560865552251
2026-07-27 08:25:10+00:00,linear,1393,5,garch,width,17.994076141290314
2026-07-27 08:25:10+00:00,linear,1393,5,har_rv,width,18.488581496453406
2026-07-27 08:25:10+00:00,linear,1393,5,ridge,width,1808.5187924884845
2026-07-27 08:25:10+00:00,linear,1393,5,vol_21d,width,21.791190362007182
2026-07-27 08:25:10+00:00,linear,1393,5,garch,med_MAPE,5.5446940608202935
2026-07-27 08:25:10+00:00,linear,1393,5,har_rv,med_MAPE,5.579803112138148
2026-07-27 08:25:10+00:00,linear,1393,5,ridge,med_MAPE,5.961849605048266
2026-07-27 08:25:10+00:00,linear,1393,5,vol_21d,med_MAPE,5.6560147565854795
2026-07-27 08:25:10+00:00,linear,1393,5,garch,pinball_%,1.4401144610889538
2026-07-27 08:25:10+00:00,linear,1393,5,har_rv,pinball_%,1.4586629614477287
2026-07-27 08:25:10+00:00,linear,1393,5,ridge,pinball_%,1.5077598297267216
2026-07-27 08:25:10+00:00,linear,1393,5,vol_21d,pinball_%,1.5180949347354293
2026-07-27 08:46:42+00:00,tree,1445,24,tree_lgbm,pinball,167.91553611528096
2026-07-27 08:46:42+00:00,tree,1445,24,vol_21d,pinball,167.99317768299755
2026-07-27 08:46:42+00:00,tree,1445,24,tree_lgbm,coverage,78.68512110726643
2026-07-27 08:46:42+00:00,tree,1445,24,vol_21d,coverage,79.3178447849728
2026-07-27 08:46:42+00:00,tree,1445,24,tree_lgbm,width,19.00909115559637
2026-07-27 08:46:42+00:00,tree,1445,24,vol_21d,width,20.66089017785267
2026-07-27 08:46:42+00:00,tree,1445,24,tree_lgbm,med_MAPE,5.746847398753047
2026-07-27 08:46:42+00:00,tree,1445,24,vol_21d,med_MAPE,5.805569702692228
2026-07-27 08:46:42+00:00,tree,1445,24,tree_lgbm,pinball_%,1.4129764968398537
2026-07-27 08:46:42+00:00,tree,1445,24,vol_21d,pinball_%,1.4136298354939139
2026-07-27 10:03:56+00:00,tree,1445,24,xgb,pinball,166.9816561522213
2026-07-27 10:03:56+00:00,tree,1445,24,lgbm,pinball,167.91553611528096
2026-07-27 10:03:56+00:00,tree,1445,24,vol_21d,pinball,167.99317768299755
2026-07-27 10:03:56+00:00,tree,1445,24,xgb,coverage,78.99159663865547
2026-07-27 10:03:56+00:00,tree,1445,24,lgbm,coverage,78.68512110726643
2026-07-27 10:03:56+00:00,tree,1445,24,vol_21d,coverage,79.3178447849728
2026-07-27 10:03:56+00:00,tree,1445,24,xgb,width,18.87208624413142
2026-07-27 10:03:56+00:00,tree,1445,24,lgbm,width,19.00909115559637
2026-07-27 10:03:56+00:00,tree,1445,24,vol_21d,width,20.66089017785267
2026-07-27 10:03:56+00:00,tree,1445,24,xgb,med_MAPE,5.749111879011601
2026-07-27 10:03:56+00:00,tree,1445,24,lgbm,med_MAPE,5.746847398753047
2026-07-27 10:03:56+00:00,tree,1445,24,vol_21d,med_MAPE,5.805569702692228
2026-07-27 10:03:56+00:00,tree,1445,24,xgb,pinball_%,1.4051180790352793
2026-07-27 10:03:56+00:00,tree,1445,24,lgbm,pinball_%,1.4129764968398537
2026-07-27 10:03:56+00:00,tree,1445,24,vol_21d,pinball_%,1.4136298354939139
2026-07-27 10:08:16+00:00,tree,1445,24,xgb,pinball,166.9816561522213
2026-07-27 10:08:16+00:00,tree,1445,24,lgbm,pinball,167.91553611528096
2026-07-27 10:08:16+00:00,tree,1445,24,vol_21d,pinball,167.99317768299755
2026-07-27 10:08:16+00:00,tree,1445,24,xgb,coverage,78.99159663865547
2026-07-27 10:08:16+00:00,tree,1445,24,lgbm,coverage,78.68512110726643
