model,fold,regime,pinball,coverage,width,med_MAPE,pinball_%
lstm,2021-01-01 00:00:00+00:00,medium,197.30014806470967,80.13136288998358,26.12522604927773,8.303954357912561,2.9074860540378897
lstm,2021-01-01 00:00:00+00:00,high,26.89061708259185,81.2807881773399,37.76526705668175,11.1959744422281,4.1711707080478675
dlinear,2022-01-01 00:00:00+00:00,low,165.09800807048177,78.81773399014779,16.691218170280877,5.5238278386782005,1.7586961186987846
dlinear,2022-01-01 00:00:00+00:00,medium,102.7013224210432,77.33990147783251,19.28847879297834,8.118725686574919,2.4450257077511144
dlinear,2022-01-01 00:00:00+00:00,high,32.31681533681421,91.13300492610837,24.419508603348977,5.995423911444171,1.884718073530349
lstm,2022-01-01 00:00:00+00:00,low,165.09019245594789,74.2200328407225,14.73839573721849,5.521995221124727,1.7604555779475919
lstm,2022-01-01 00:00:00+00:00,medium,103.04070959867609,76.35467980295566,19.168439292977833,8.121419228158782,2.4755483934476543
lstm,2022-01-01 00:00:00+00:00,high,31.59211765407649,89.32676518883416,23.581842146533123,5.9924441770056385,1.8591600266056922
dlinear,2023-01-01 00:00:00+00:00,medium,90.50168276637875,88.20598006644518,15.056202974903313,3.54591265850238,1.2231564040432563
dlinear,2023-01-01 00:00:00+00:00,low,96.95322240355934,86.37110016420363,13.95876363992841,3.6859404304497683,1.4786084279280152
dlinear,2023-01-01 00:00:00+00:00,high,26.407941178273063,86.20689655172413,18.910370627218825,4.822120951114743,1.829381453104371
lstm,2023-01-01 00:00:00+00:00,medium,86.7610818124278,84.88372093023256,13.44103501464779,3.5360407862439933,1.2052686687458445
lstm,2023-01-01 00:00:00+00:00,low,93.35209684022782,82.43021346469622,12.08997192613169,3.668216340885237,1.4687901063931077
lstm,2023-01-01 00:00:00+00:00,high,26.911893175263994,85.22167487684729,18.95468030650318,4.819374424940329,1.8379144578673317
dlinear,2024-01-01 00:00:00+00:00,medium,187.45950444447442,73.39901477832512,13.99609778330585,4.854462687555299,1.5931983735603683
dlinear,2024-01-01 00:00:00+00:00,low,326.27423334798556,74.83766233766234,12.463183607783437,4.523292841431332,1.5358342551535125
dlinear,2024-01-01 00:00:00+00:00,high,68.22518002203627,72.40259740259741,16.820022297312175,6.122857572220366,2.2313586736492406
lstm,2024-01-01 00:00:00+00:00,medium,187.55961386693454,76.68308702791461,14.469376912856113,4.852957819626434,1.585255260908822
lstm,2024-01-01 00:00:00+00:00,low,331.5580515459962,75.48701298701299,12.235715723901839,4.523410872246469,1.547466339985782
lstm,2024-01-01 00:00:00+00:00,high,68.9922353689418,76.78571428571429,19.052272443450235,6.12285520102729,2.1982267279360124
dlinear,2025-01-01 00:00:00+00:00,low,553.6874112923864,83.74384236453201,12.500687496470086,3.389624933812596,1.1746875791383216
dlinear,2025-01-01 00:00:00+00:00,medium,102.95323016386688,72.42524916943522,15.586291280226883,5.809283035753541,1.8948162003491045
dlinear,2025-01-01 00:00:00+00:00,high,31.135165819286158,77.33990147783251,18.47110227584608,5.540946477381753,1.8439398973625973
lstm,2025-01-01 00:00:00+00:00,low,547.5130075585515,80.78817733990148,11.591168902433749,3.387050903511165,1.1750913153796128
lstm,2025-01-01 00:00:00+00:00,medium,104.18885558374762,73.25581395348837,16.249122689756952,5.794791859992694,1.8990673337139643
lstm,2025-01-01 00:00:00+00:00,high,31.754502295977613,82.10180623973727,20.707797717608642,5.5644327763155506,1.847705930863463
dlinear,2026-01-01 00:00:00+00:00,low,273.2154405603475,82.97872340425532,12.384588688308616,4.126365712275107,1.3491818289449369
dlinear,2026-01-01 00:00:00+00:00,high,56.0846372497627,84.49848024316108,16.366198613711468,4.592522940218147,1.4205322619530345
dlinear,2026-01-01 00:00:00+00:00,medium,252.0859285211695,79.8136645962733,14.405627550366853,4.486877042961813,1.3825143025637074
lstm,2026-01-01 00:00:00+00:00,low,271.5439289833481,80.85106382978722,11.66564839579596,4.124435197815764,1.338272038586109
lstm,2026-01-01 00:00:00+00:00,high,55.58913959342604,85.71428571428571,16.741230509007178,4.5876887247002545,1.4298669844037886
lstm,2026-01-01 00:00:00+00:00,medium,259.219721492168,80.43478260869566,14.738718929272492,4.482302903238898,1.4111428624029585
